    Year  Total_Energy_Production
0   1990                12.719267
1   1991                13.289210
2   1992                13.460583
3   1993                13.693375
4   1994                14.630674
5   1995                15.583169
6   1996                15.979034
7   1997                16.675340
8   1998                16.963353
9   1999                16.995119
10  2000                17.206630
11  2001                17.812173
12  2002                18.738222
13  2003                19.781285
14  2004                20.864104
15  2005                22.094297
16  2006                23.375136
17  2007                24.541829
18  2008                24.952233
19  2009                25.756189
20  2010                28.038268
21  2011                28.849602
22  2012                28.552929
23  2013                28.812535
24  2014                29.125989
25  2015                30.117110
26  2016                31.873503
27  2017                33.075979
28  2018                35.055791
29  2019                35.570744
